,chief_block,chief_block_v2
eth.dst,1,1
eth.dst.ig,1,1
eth.dst.lg,1,1
eth.padding,0,1
eth.src,1,1
eth.src.ig,1,1
eth.src.lg,1,1
eth.type,1,1
ip.checksum,1,1
ip.dsfield,1,1
ip.dsfield.dscp,1,1
ip.dsfield.ecn,1,1
ip.dst,1,1
ip.flags,1,1
ip.flags.df,1,1
ip.flags.mf,1,1
ip.flags.rb,1,1
ip.frag_offset,1,1
ip.hdr_len,1,1
ip.id,1,1
ip.len,1,1
ip.proto,1,1
ip.src,1,1
ip.ttl,1,1
ip.version,1,1
tcp.ack,1,1
tcp.ack_raw,1,1
tcp.checksum,1,1
tcp.dstport,1,1
tcp.flags,1,1
tcp.flags.ack,1,1
tcp.flags.ae,1,1
tcp.flags.cwr,1,1
tcp.flags.ece,1,1
tcp.flags.fin,1,1
tcp.flags.push,1,1
tcp.flags.res,1,1
tcp.flags.reset,1,1
tcp.flags.str,1,1
tcp.flags.syn,1,1
tcp.flags.urg,1,1
tcp.hdr_len,1,1
tcp.len,1,1
tcp.option_kind,0,1
tcp.option_len,0,1
tcp.options,0,1
tcp.options.nop,0,1
tcp.options.sack,0,1
tcp.options.sack_le,0,1
tcp.options.sack_re,0,1
tcp.options.timestamp,0,1
tcp.options.timestamp.tsecr,0,1
tcp.options.timestamp.tsval,0,1
tcp.seq,1,1
tcp.seq_raw,1,1
tcp.srcport,1,1
tcp.stream,1,1
tcp.urgent_pointer,1,1
tcp.window_size,1,1
tcp.window_size_scalefactor,1,1
tcp.window_size_value,1,1
tls.record.content_type,0,1
tls.record.length,0,1
tls.record.version,0,1
