label,16,22,24,27,28,30,34,35,36,37,39,40,42,44,6,77,9,default_expert
MS-Exchange,54,0,917,0,0,0,0,0,7,3,0,0,1116,0,0,0,0,27
aimchat,65,456,2037,0,0,0,7,78,0,25,0,0,1740,11,0,0,2,63
amazon,548,0,16851,42,2,0,0,0,1071,142,0,0,289,0,23,0,0,102
baidu,1287,0,44017,4604,443,0,0,0,1117,209,0,0,660,0,1447,0,0,53
cloudmusic,123,0,87553,26407,763,0,0,0,987,18,0,0,0,0,320,0,0,0
facebook,12,57,393,0,0,0,0,0,10,7,0,0,256,0,0,0,0,9
gmail,57,968,1676,0,0,0,0,0,0,19,0,0,1987,0,0,0,0,73
google,0,0,0,0,0,0,154,3034,0,0,92,2125,0,2249,0,878,0,0
itunes,1120,0,19894,855,99,0,0,0,896,867,0,0,2017,0,58,0,0,418
jd,796,0,24449,440,29,0,0,0,872,80,0,0,0,0,139,0,0,0
kugou,27,0,1876,166,2,0,0,0,137,5,0,0,0,0,7,0,0,0
mssql,17,0,21790,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0
netflix,0,17,11,0,0,0,2218,78708,0,0,67,1738,0,111,0,21,43,9
pplive,446,0,22864,1020,5,0,0,0,1261,14,0,0,8,0,9,0,0,7
qq,134,0,5958,0,0,0,32,0,394,32,100,3624,0,0,0,0,530,0
sinauc,14,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skype,132,467,81696,8180,470,1,9,124,458,7,0,576,190,0,180,78,10,73
sohu,423,0,36788,0,0,0,0,0,3834,1065,0,0,0,0,0,0,0,0
spotify,18,17,76,0,0,0,221,7115,0,1,34,6186,0,111,0,540,56,62
taobao,861,0,36210,569,476,0,0,0,928,484,0,0,0,0,211,0,0,0
thunder,8,0,15029,1582,169,8074,4301,35022,508,0,3,287,0,0,15,0,2796,2
tudou,181,0,94028,5893,313,0,0,0,939,56,0,0,0,0,901,0,0,1
twitter,0,0,0,0,0,0,273,7405,0,0,20,412,0,3398,0,200,0,0
vimeo,3,15,83,0,1,0,411,32758,0,0,286,6384,10,1436,10,923,218,200
voipbuster,29,0,923,0,0,0,0,0,0,1,0,0,198,0,0,0,0,37
weibo,715,0,55015,6714,528,0,0,0,2494,249,0,0,40,0,810,0,0,7
yahoomail,662,0,29429,0,0,0,0,0,219,81,0,0,3917,0,0,0,0,514
youku,166,0,58432,1743,116,0,0,0,968,110,0,0,3,0,119,0,0,7
youtube,2,182,114,0,0,0,6686,36903,0,0,572,5172,2,8348,8,1754,102,101
