label,chief_block,chief_block_v2
MS-Exchange,2124,2124
aimchat,4484,2037
amazon,16851,16851
baidu,44017,44017
cloudmusic,87553,87553
facebook,744,744
gmail,4780,4780
google,8532,8532
itunes,19894,19894
jd,24449,24449
kugou,2220,2220
mssql,21790,21790
netflix,82943,82943
pplive,22864,22864
qq,5958,5958
sinauc,68,68
skype,81696,81696
sohu,36788,36788
spotify,14437,14437
taobao,36210,36210
thunder,15029,15029
tudou,94028,94028
twitter,11708,11708
vimeo,42738,42738
voipbuster,1188,1188
weibo,55015,55015
yahoomail,29429,29429
youku,58432,58432
youtube,59946,59946
